lipid_metab_node,RNAseq_node,Shortest_path_length,number_of_shortest_paths
lipid107,ENSMUSG00000025364,9,6
lipid107,ENSMUSG00000025809,8,2
lipid107,ENSMUSG00000025860,9,10
lipid107,ENSMUSG00000026234,8,2
lipid107,ENSMUSG00000026353,8,2
lipid107,ENSMUSG00000026398,9,22
lipid107,ENSMUSG00000026464,9,32
lipid107,ENSMUSG00000026579,8,2
lipid107,ENSMUSG00000026740,9,6
lipid107,ENSMUSG00000026743,10,162
lipid107,ENSMUSG00000026991,9,10
lipid107,ENSMUSG00000027677,9,8
lipid107,ENSMUSG00000027680,8,4
lipid107,ENSMUSG00000027708,10,58
lipid107,ENSMUSG00000027884,9,22
lipid107,ENSMUSG00000028029,9,32
lipid107,ENSMUSG00000028053,8,2
lipid107,ENSMUSG00000028180,9,30
lipid107,ENSMUSG00000028559,9,36
lipid107,ENSMUSG00000028797,9,4
lipid107,ENSMUSG00000028869,9,10
lipid107,ENSMUSG00000029623,9,22
lipid107,ENSMUSG00000029634,9,10
lipid107,ENSMUSG00000029836,8,2
lipid107,ENSMUSG00000030059,9,64
lipid107,ENSMUSG00000030122,9,12
lipid107,ENSMUSG00000030216,9,4
lipid107,ENSMUSG00000030451,9,12
lipid107,ENSMUSG00000030557,9,20
lipid107,ENSMUSG00000030738,8,4
lipid107,ENSMUSG00000031060,9,2
lipid107,ENSMUSG00000031357,8,2
lipid107,ENSMUSG00000031902,9,48
lipid107,ENSMUSG00000031954,9,6
lipid107,ENSMUSG00000032384,10,186
lipid107,ENSMUSG00000032407,9,50
lipid107,ENSMUSG00000032525,9,8
lipid107,ENSMUSG00000032727,9,36
lipid107,ENSMUSG00000032763,7,4
lipid107,ENSMUSG00000033228,9,2
lipid107,ENSMUSG00000034163,10,210
lipid107,ENSMUSG00000034243,8,2
lipid107,ENSMUSG00000034252,8,2
lipid107,ENSMUSG00000034610,8,2
lipid107,ENSMUSG00000034620,8,2
lipid107,ENSMUSG00000035284,9,38
lipid107,ENSMUSG00000035349,8,2
lipid107,ENSMUSG00000035469,9,14
lipid107,ENSMUSG00000035762,9,14
lipid107,ENSMUSG00000036180,9,12
lipid107,ENSMUSG00000036940,8,2
lipid107,ENSMUSG00000037110,9,4
lipid107,ENSMUSG00000037234,9,24
lipid107,ENSMUSG00000037416,9,2
lipid107,ENSMUSG00000038446,9,2
lipid107,ENSMUSG00000038664,8,2
lipid107,ENSMUSG00000038708,8,2
lipid107,ENSMUSG00000038774,8,2
lipid107,ENSMUSG00000039704,10,32
lipid107,ENSMUSG00000040459,9,16
lipid107,ENSMUSG00000040549,9,34
lipid107,ENSMUSG00000041360,10,104
lipid107,ENSMUSG00000041997,9,28
lipid107,ENSMUSG00000042605,8,2
lipid107,ENSMUSG00000042814,7,2
lipid107,ENSMUSG00000043279,9,4
lipid107,ENSMUSG00000044252,9,2
lipid107,ENSMUSG00000044519,8,2
lipid107,ENSMUSG00000044573,8,2
lipid107,ENSMUSG00000046111,9,8
lipid107,ENSMUSG00000046230,8,2
lipid107,ENSMUSG00000048000,8,2
lipid107,ENSMUSG00000048118,9,10
lipid107,ENSMUSG00000049091,8,2
lipid107,ENSMUSG00000049606,8,2
lipid107,ENSMUSG00000050697,8,2
lipid107,ENSMUSG00000051285,8,2
lipid107,ENSMUSG00000052337,9,20
lipid107,ENSMUSG00000052428,9,8
lipid107,ENSMUSG00000052539,8,4
lipid107,ENSMUSG00000052595,7,2
lipid107,ENSMUSG00000053453,8,2
lipid107,ENSMUSG00000053510,10,154
lipid107,ENSMUSG00000053877,8,4
lipid107,ENSMUSG00000054226,9,8
lipid107,ENSMUSG00000056608,9,12
lipid107,ENSMUSG00000057110,9,14
