ID,Type,Median Value (experiment1),Median Value (experiment2),Mean Value (experiment1),Mean Value (experiment2),Comparison p-value (experiment1),Comparison p-value (experiment2),Median Log2 Fold Change (experiment1),Median Log2 Fold Change (experiment2),Mean Log2 Fold Change (experiment1),Mean Log2 Fold Change (experiment2),Median Log2 Fold Change Direction (experiment1),Median Log2 Fold Change Direction (experiment2),Median Log2 Fold Changes Consistent,Combined Comparison p-value,Corrected Comparison p-value
OTU_185126,microbe,23.76383607,21.588965495,26.37246009446001,19.981630773040003,0.6751736149271245,0.5476190476190477,1.7585518929827317,0.4111450133862208,1.5125642461345572,0.41793244383821027,1.0,1.0,True,0.737612686584203,0.797431346622228
OTU_185177,microbe,8.556678002,5.447960167,10.38114539586,5.752639718779999,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_185222,microbe,4.664286059,2.5536268294999998,5.481276726119998,2.82962965198,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_185587,microbe,4.668770286499999,nan,4.7760281963799995,nan,0.0119252335930176,nan,-0.40885704733809847,nan,-0.4756829033624845,nan,-1.0,nan,False,0.011925233593017597,0.09219122893063604
OTU_1857626,microbe,nan,1.2897198815,nan,15.625462669039997,nan,0.05555555555555555,nan,-3.2767768679291147,nan,-3.364669682440286,nan,-1.0,False,0.05555555555555553,0.1486357390142467
OTU_187233,microbe,10.943990320000001,8.4046302225,69.4176076164,29.182293001079998,0.08968602177036457,0.0119252335930176,-0.2650193129059501,-2.4355893678618825,-0.7347471816164011,-2.510883171618759,-1.0,-1.0,True,0.00838566628018448,0.09219122893063604
OTU_187962,microbe,5.174773742999999,3.6972549304999998,32.099009720279994,14.749567742420002,0.2222222222222222,0.011159425282914755,-2.061889923863942,-4.212073916745963,-0.8626199311458889,-3.0914029345988876,-1.0,-1.0,True,0.017357985634177956,0.10112913369477593
OTU_188225,microbe,22.540077005,14.278999185,27.13432626984,14.40565224996,0.0119252335930176,0.6904761904761905,-0.46992405199094206,-0.7221201433360873,-1.4787093742443593,-0.8881066323931206,-1.0,-1.0,True,0.04775337724023522,0.14326013172070567
OTU_188973,microbe,41.34290721,8.410029401500001,42.82106403952,8.05034856206,0.6904761904761905,0.2222222222222222,1.3230107073482973,1.8609481280214615,1.3663389175237388,1.6625962539856745,1.0,1.0,True,0.4410533564397985,0.5794230368915
OTU_189288,microbe,3.8465940400000003,nan,4.47491088564,nan,0.14245669739409875,nan,-0.40885704733809847,nan,0.6232462907740718,nan,-1.0,nan,False,0.14245669739409872,0.27183429425581906
OTU_189585,microbe,40.26553679,17.360974875,43.9595879335,20.42072637648,0.0936926194932482,0.2222222222222222,-2.8571182536312336,0.41683475564479927,-1.073733993807255,0.7135953710436598,-1.0,1.0,False,0.10143398794070374,0.2204133143360157
OTU_189840,microbe,529.1852685,227.5892735,1505.9658279414004,486.3695028062804,0.09523809523809523,0.6904761904761905,-2.337765675057965,0.51067754533461,-1.360551513844675,0.461191006600822,-1.0,1.0,False,0.2447408669350358,0.38431964260892343
OTU_1902400,microbe,0.078180634,3.3010460495,2.4582925948599996,3.26475248958,0.0119252335930176,0.5476190476190477,-0.46992405199094206,-1.4656424379909239,-1.9877219117815024,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_190242,microbe,21.251534059999997,9.514994244,25.373143922220002,10.594194855180003,0.0936926194932482,0.6904761904761905,-0.11888977996579296,-1.4656424379909239,-1.4132568049538077,0.44095720996615884,-1.0,-1.0,True,0.24182774435351875,0.3827352489374588
OTU_190652,microbe,5.3269111845,nan,30.870588796720007,nan,0.15079365079365079,nan,2.9812343116746427,nan,3.355467573762253,nan,1.0,nan,False,0.15079365079365087,0.27183429425581906
OTU_191067,microbe,124.1110535,66.456186105,269.94381857084005,114.69069794258002,0.2222222222222222,0.031746031746031744,3.9413606754400186,2.778982269724665,3.257122406083596,2.0783127598288362,1.0,1.0,True,0.04200398548576973,0.1340127155974558
OTU_191274,microbe,5.397125044999999,2.6281902515,5.793753830380002,2.99103836476,0.0119252335930176,0.30952380952380953,-0.40885704733809847,-1.4713321802495023,-0.4756829033624845,-1.371208940380436,-1.0,-1.0,True,0.02436826250135943,0.12245051906933113
OTU_191616,microbe,5.4835395155,3.5543187495,5.964691972820001,3.587424224440001,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
