ID,RD_509,RD_510,RD_511,RD_512,RD_513,RD_514,RD_515,RD_516,WDO_517,WDO_518,WDO_519,WDO_520,WDO_521,WDO_522,WDO_523,WDO_524,WDE_525,WDE_526,WDE_527,WDE_528,WDE_529,WDE_530,WDE_531,WDE_532,WDD_533,WDD_534,WDD_535,WDD_536,WDD_537,WDD_538,WDD_539,WDD_540
ENSMUSG00000028869,9.187406205,9.349794257,9.327742228,10.76685365,9.82188788,10.77224273,10.65627075,3.677753924,18.22477699,21.33712386,24.09978034,20.17375442,18.99648886,17.42534092,27.65822197,24.74007047,24.64648986,25.41219045,14.51530383,15.16817182,6.435617522,8.807070774,9.668612677,10.57826508,6.975965441,12.6921614,15.89606136,6.215033415,10.88377456,11.88578779,9.965295503,11.22957235
ENSMUSG00000038446,7.967079634,6.904822237,11.5281871,10.60772313,13.63887986,7.967079634,7.902480842,10.17774523,25.73806661,16.15496656,19.06498858,27.67029925,20.20111868,36.07219451,16.42212551,18.31868037,23.07271651,19.57034096,11.69549793,16.5576387,6.260431597,15.25485769,9.668612677,13.29373656,13.92659943,20.36997403,17.81136013,9.892488613,11.59825055,12.07090883,9.45855956,9.626534803
ENSMUSG00000032294,5.038576183,10.55127844,6.653824876,4.33304902,5.038576183,6.113787965,8.528035681,9.199893259,14.11062105,20.68184444,13.44797158,11.83124592,16.10699734,18.62110671,17.01007572,16.03014986,10.15102114,10.0855323,13.34722455,14.63173947,20.77091233,15.43047576,7.455484245,11.81886984,9.898110207,4.928649183,10.04251676,11.71101965,16.58583259,19.40529114,12.55921998,14.06164784
ENSMUSG00000058587,15.53665211,16.01574561,15.52141846,22.51491563,16.61564925,16.01168979,12.46444281,12.15463541,35.69106238,33.95283475,43.29359072,41.98625398,32.6403518,24.06971647,37.77289382,38.61734676,41.23831352,31.37466025,23.04468686,36.56570641,19.38726839,21.3182192,20.15674253,24.85743758,19.78564021,30.03135668,27.24200289,28.36630245,23.15784241,20.67638931,17.46956089,18.96056756
ENSMUSG00000063077,71.3691443,89.21903434,75.94584149,82.00888845,101.5713685,78.69522753,76.73962624,116.8073887,202.9179794,149.6289963,199.1998927,205.0060685,193.6217019,180.2451742,196.1210046,221.6624699,192.4867087,218.5311734,92.88534663,143.8416061,72.42205003,84.3116412,90.62973887,95.69690417,83.93206418,124.281118,104.1646164,95.83006679,102.2457506,95.50910267,90.86339056,86.32211286
ENSMUSG00000022521,28.28420359,68.76740122,36.00160002,30.77294355,52.31933942,36.4109442,27.23482021,47.10559443,88.93923942,75.08826609,91.63292678,94.35522062,85.57861679,102.5852897,94.02897839,80.40005508,78.55289914,85.38097719,31.40434662,70.54639637,35.49556882,43.24471023,42.24443492,51.1900946,41.62933327,62.16562281,57.85599008,37.9839244,55.04944324,47.87781366,33.09742908,41.3744204
ENSMUSG00000032384,4.245414736,6.279433879,5.612599249,6.745156893,8.894208362,7.492411093,2.758469561,3.677753924,9.951664043,9.456178363,13.14723479,13.91074912,13.55889359,16.23026244,12.01347276,10.92631031,12.61174473,12.43250512,4.392009905,8.790117828,5.689268047,8.266905094,7.109581553,6.909340265,5.953289075,6.468462932,9.788564777,10.52193531,5.233182539,5.498335298,3.962776064,4.535994984
ENSMUSG00000041360,10.05618518,28.8029344,21.37015331,19.13112969,26.45240912,20.86578025,17.55538331,20.08775033,39.28401808,29.65491213,44.75027832,43.67470316,51.6055651,60.95035672,45.48953636,39.96481761,44.9930571,42.23412507,18.13010919,33.67113342,17.95336415,18.19040485,25.87233775,25.42740451,20.72279405,36.543909,27.45559872,15.96699323,18.66733622,21.2268899,17.98097005,22.28673815
ENSMUSG00000028029,55.94526136,62.78346837,49.40761332,60.52525967,61.31668914,51.04693733,49.56740495,31.54238519,97.38386449,105.6337438,122.2710952,111.6763756,111.3944941,92.14771149,129.9386929,129.5037874,112.889828,129.0633681,74.0049425,104.9012719,53.05357,55.26122439,47.26511386,56.19796769,56.5325973,66.77571712,70.43149835,63.54536543,46.61701672,61.08040757,62.26739968,55.19374504
ENSMUSG00000048000,25.09980024,45.1091173,27.21347784,24.3163718,40.41376895,25.79006891,20.77091233,45.50611134,56.73047308,46.08573828,66.63824776,77.8434025,62.5034704,74.12348388,76.31951558,80.67845619,68.1637527,59.15628374,29.53077793,52.90747039,21.2805881,25.59387089,21.97225184,34.8173546,24.37521439,50.7971476,48.94612451,21.8987931,37.26973948,34.94165586,30.92637564,24.11722899
ENSMUSG00000064367,679.8997531,628.5929494,602.5326346,696.7046367,535.9867522,677.0315825,619.4993333,694.9840808,1252.207893,960.1087521,1381.057892,1616.327343,1462.154394,1207.088887,1408.46139,1548.996063,1357.05336,1713.246122,774.5929662,1261.297335,572.0152305,581.4443234,609.0341521,588.0787654,550.0389218,626.458229,668.0170158,597.2754083,528.3341693,564.8438402,551.5940939,624.0698059
ENSMUSG00000062949,52.57936748,86.25552135,75.56246263,64.38294106,72.66985535,67.22099246,71.0347706,89.34026374,141.2119549,107.8102703,136.9167183,166.3516176,148.3897807,167.636689,163.0508114,175.2192307,142.3474456,141.2119549,64.27859229,109.6708754,64.28668044,76.21456121,76.5173868,78.72994111,77.19238864,118.9482586,108.4216753,100.4268029,85.24552649,80.19773519,85.62100965,67.22099246
ENSMUSG00000051285,93.75387053,176.6130686,134.9471481,158.9890067,176.9791336,168.9941836,129.7132216,99.31241481,286.2751221,260.8837445,320.2965245,328.560253,280.8449449,259.8625608,317.5416705,303.6474231,206.3907475,310.9918041,135.3140727,228.4329844,133.7111948,199.553707,180.0373621,192.0782661,188.4920247,246.4416165,246.6107767,182.9473475,206.1579711,194.6030751,193.2782979,180.8342641
ENSMUSG00000058056,40.25072208,73.18206292,51.6688731,43.41100917,68.72722098,43.5867391,39.42666792,45.50611134,101.3021471,94.92200314,106.4366981,99.31241481,112.0283138,126.7134936,95.30600842,96.85644277,105.7678847,100.8354292,55.56122582,81.56485865,55.98172126,64.233538,60.11108797,89.71940278,70.03409195,84.0356188,116.72322,68.95602395,78.17546138,76.30133777,68.20655803,62.36937629
ENSMUSG00000049606,21.27913976,28.8029344,19.47619207,20.67638931,32.47406756,20.14309915,20.54307823,31.54238519,38.80776039,39.58863509,51.80181494,50.75292203,47.65226918,45.24783198,57.43057345,61.81921326,36.88300837,51.56814792,20.01269162,36.56570641,19.70819594,20.1965133,21.72946526,25.57038255,23.52808856,33.40069247,34.65388633,23.6898934,30.06986544,27.12660085,23.95838623,24.11722899
ENSMUSG00000064294,91.22295535,113.9790664,110.6818722,91.19122573,85.97737173,106.2611608,137.9008792,178.3977359,213.924784,134.9932995,204.3626801,320.2965245,216.4486511,243.3426433,227.3211311,282.7592822,279.8268481,230.5148757,114.0273599,193.3848679,106.0967421,125.6807341,113.3440478,124.5252441,110.2053171,144.618135,144.7418869,156.8743786,124.0610674,133.2284686,129.881719,116.4988611
ENSMUSG00000026234,206.3907475,185.9674629,185.1931349,286.8737678,234.9001436,244.7724173,214.6280041,222.5182674,418.2815236,341.2781191,485.3361654,444.1242263,412.2274434,398.4775355,445.8144897,553.6722008,365.9265452,455.9008016,266.6755435,354.3408336,224.9253519,257.1480373,289.2005339,222.7691032,238.3190969,285.0642921,286.2751221,255.2634576,265.0040746,272.3242028,262.4841296,251.1720367
ENSMUSG00000024188,16.56698793,21.32286198,19.99502934,21.63881879,24.14018775,23.04965639,17.55538331,18.01178343,34.88175681,28.83463849,39.18491435,45.62637862,40.9975638,43.90369092,41.62002257,41.63256929,33.80192922,36.64991618,18.92951446,26.54103654,20.14776948,27.0199299,17.98712667,27.07958367,23.52808856,26.68826692,28.70129883,23.11267058,24.67810438,24.99709893,26.77151737,23.07271651
